machine_id,machine_age,usage_intensity,operating_temp,load_factor,rpm,vibration_level,oil_quality,maintenance_count,environment,manufacturer,observed_time,event_observed
M0615,13.1,1.0,78.98,0.56,1121,4.502,0.102,19,outdoor,B,92.7,1
M0616,13.81,1.5,66.11,0.36,1292,8.469,0.728,1,outdoor,A,20.8,1
M0617,0.92,1.99,81.61,0.69,2522,8.833,0.2,16,outdoor,A,122.16,1
M0618,4.15,1.49,76.22,0.89,2689,2.81,0.371,18,outdoor,A,100.25,1
M0619,12.09,1.34,110.56,0.86,1256,5.73,0.502,12,outdoor,B,85.06,1
M0620,11.22,1.6,78.8,0.42,2647,2.329,0.725,12,harsh,B,59.56,1
M0621,2.77,1.2,107.34,0.77,2643,1.468,0.113,0,harsh,A,62.98,1
M0622,3.14,0.59,113.51,0.45,2412,9.156,0.406,1,outdoor,B,34.89,1
M0623,5.56,1.34,86.03,0.45,867,8.295,0.485,0,harsh,A,42.03,1
M0624,7.27,1.94,114.6,0.91,2226,7.72,0.541,4,outdoor,B,30.8,1
M0625,9.27,0.76,82.64,0.47,2863,0.963,0.818,2,outdoor,A,48.03,1
M0626,5.53,1.54,117.84,0.48,2206,8.515,0.172,6,outdoor,A,165.33,1
M0627,6.94,0.8,65.36,0.3,1329,4.661,0.808,12,indoor,B,52.71,1
M0628,11.21,1.3,101.22,0.91,1751,3.753,0.693,17,indoor,A,66.55,1
M0629,0.55,0.65,89.63,0.85,2114,5.692,0.556,20,indoor,B,123.42,1
M0630,3.79,1.18,83.26,0.74,1776,1.368,0.7,6,outdoor,A,111.19,1
M0631,10.7,1.63,97.96,0.83,800,7.688,0.412,0,indoor,B,37.58,1
M0632,13.43,1.02,102.23,0.41,1280,6.033,0.138,4,outdoor,A,91.87,0
M0633,7.68,1.5,60.26,0.62,2506,2.273,0.666,16,harsh,B,103.16,1
M0634,7.98,1.69,70.02,0.55,2654,2.288,0.525,7,indoor,C,48.79,1
M0635,1.61,1.89,102.78,0.37,843,2.25,0.639,14,outdoor,A,68.54,1
M0636,6.71,0.85,99.98,0.64,2881,1.042,0.338,19,indoor,B,195.57,0
M0637,7.99,1.1,117.96,0.94,1322,6.084,0.907,3,indoor,A,136.27,1
M0638,3.64,0.73,105.66,0.33,2156,8.483,0.587,1,outdoor,B,90.47,1
M0639,4.04,1.99,117.05,0.5,2380,0.666,0.085,4,outdoor,A,28.66,1
M0640,5.66,1.89,102.15,0.45,2530,0.966,0.45,0,outdoor,B,63.47,1
M0641,0.3,1.31,77.88,0.47,2864,5.941,0.756,4,indoor,B,99.58,1
M0642,4.83,1.76,66.32,0.94,1282,8.285,0.794,5,outdoor,C,34.09,1
M0643,3.17,1.28,106.91,0.63,2646,3.604,0.495,1,indoor,B,77.7,1
M0644,4.91,1.44,98.65,0.63,829,3.821,0.895,0,indoor,B,100.39,1
M0645,1.8,0.63,62.89,0.83,2263,6.165,0.268,3,indoor,B,76.02,1
M0646,13.36,1.63,81.6,0.41,2355,3.105,0.411,6,indoor,C,104.58,1
M0647,8.9,0.69,117.41,0.64,2194,0.753,0.899,0,indoor,C,112.02,1
M0648,10.19,1.74,90.02,0.6,1131,7.485,0.896,0,indoor,A,64.16,1
M0649,11.84,1.67,85.96,0.72,2683,6.444,0.686,7,harsh,C,68.48,1
M0650,7.48,1.56,87.46,1.0,922,6.017,0.859,19,indoor,B,37.87,1
M0651,1.3,0.55,72.53,0.84,634,7.546,0.089,15,indoor,C,156.73,1
M0652,8.06,0.95,82.12,0.58,2294,6.915,0.865,20,indoor,C,38.79,1
M0653,8.8,0.89,82.19,0.88,1689,2.456,0.321,12,outdoor,A,33.68,1
M0654,11.18,1.04,63.14,0.42,2623,3.849,0.178,17,indoor,B,126.0,1
M0655,6.47,0.63,106.05,0.32,1458,1.698,0.239,19,harsh,A,76.23,1
M0656,1.91,1.91,84.99,0.44,921,1.734,0.418,9,harsh,A,142.85,1
M0657,4.26,1.33,109.33,0.54,2591,6.924,0.251,11,indoor,A,75.59,1
M0658,5.45,0.96,111.02,0.66,1872,8.657,0.321,0,outdoor,B,45.83,1
M0659,9.69,1.1,72.72,0.73,973,9.646,0.135,9,indoor,A,99.1,1
M0660,8.56,1.17,99.44,0.94,2301,6.469,0.296,8,outdoor,A,72.48,1
M0661,5.34,1.4,88.34,0.66,1778,2.249,0.572,2,outdoor,B,60.86,1
M0662,14.8,1.27,112.81,0.65,2011,1.504,0.442,18,indoor,A,127.33,1
M0663,9.09,1.88,72.94,0.34,1652,8.222,0.347,8,indoor,A,136.57,1
M0664,3.56,1.25,100.67,0.32,2572,5.998,0.746,9,outdoor,A,128.36,0
M0665,1.53,1.99,96.47,0.69,2574,6.374,0.894,18,outdoor,A,194.51,1
M0666,2.29,1.78,77.72,0.61,2273,7.924,0.757,15,indoor,B,62.21,1
M0667,3.69,0.81,68.2,0.89,764,7.181,0.332,17,outdoor,A,143.39,1
M0668,2.41,1.9,99.1,0.41,2597,8.427,0.744,13,outdoor,C,50.41,1
M0669,2.8,0.67,104.32,0.32,2178,1.034,0.152,2,harsh,B,81.26,1
M0670,4.28,1.73,78.94,0.61,2243,7.601,0.13,1,indoor,A,56.2,0
M0671,2.6,1.07,98.69,0.47,1407,8.583,0.346,0,outdoor,A,214.49,1
M0672,13.45,1.82,83.71,0.33,2698,3.218,0.808,17,outdoor,B,102.79,1
M0673,1.2,1.8,102.79,0.81,2313,6.584,0.246,8,indoor,B,178.88,1
M0674,7.87,1.71,71.95,0.38,781,3.485,0.063,12,outdoor,A,58.74,0
M0675,6.16,1.69,113.41,0.73,1519,9.601,0.132,1,outdoor,A,127.99,1
M0676,14.74,0.96,77.24,0.5,2716,0.818,0.859,6,harsh,C,74.97,1
M0677,1.68,0.62,82.07,0.42,618,6.008,0.634,15,indoor,A,85.24,0
M0678,5.97,1.1,63.49,0.57,2904,2.082,0.253,20,outdoor,A,71.2,1
M0679,14.54,0.76,66.69,0.86,2198,7.266,0.555,18,indoor,C,62.5,1
M0680,12.98,1.54,90.95,0.57,2078,2.171,0.528,14,harsh,B,10.06,1
M0681,12.26,1.02,76.06,0.83,1176,2.736,0.655,10,indoor,A,110.86,1
M0682,3.87,1.96,110.13,0.39,1122,5.197,0.233,0,harsh,B,54.0,1
M0683,2.56,1.46,60.88,0.84,2855,9.191,0.864,20,harsh,A,73.22,1
M0684,10.03,1.73,82.75,0.47,1246,2.511,0.309,6,indoor,B,212.25,1
M0685,13.94,0.7,80.24,0.77,2439,1.87,0.694,19,harsh,B,120.42,1
M0686,8.35,1.79,61.16,0.7,1483,7.71,0.016,7,harsh,C,24.83,1
M0687,8.57,1.88,67.46,0.95,848,5.256,0.373,9,indoor,C,61.24,0
M0688,4.2,1.23,84.82,0.57,527,9.162,0.352,4,outdoor,C,56.54,1
M0689,11.54,1.41,89.57,0.35,1861,1.893,0.543,8,outdoor,C,51.48,1
M0690,2.81,1.65,84.26,0.31,2939,6.636,0.073,0,indoor,B,124.33,0
M0691,4.86,0.76,91.86,0.88,1423,2.712,0.79,1,indoor,A,106.83,1
M0692,6.38,1.25,95.71,0.67,1393,1.989,0.218,18,indoor,B,70.51,0
M0693,7.61,1.1,60.6,0.84,1360,6.993,0.677,13,indoor,B,125.42,0
M0694,3.64,0.72,87.85,0.46,1801,6.14,0.803,19,outdoor,C,113.71,1
M0695,1.72,1.05,117.81,0.54,1602,7.671,0.562,9,indoor,A,43.02,1
M0696,9.16,0.6,91.14,0.32,2700,3.44,0.741,8,harsh,C,65.91,1
M0697,4.33,0.54,100.65,0.97,1764,4.756,0.662,9,outdoor,C,59.91,1
M0698,8.72,0.7,78.71,0.77,1769,4.352,0.356,5,indoor,C,55.31,1
M0699,2.32,1.94,106.44,0.95,846,9.849,0.809,16,outdoor,C,16.37,1
M0700,7.22,1.32,106.38,0.49,2957,3.276,0.295,5,outdoor,A,77.08,1
M0701,7.99,1.95,91.28,0.73,1125,3.301,0.571,3,harsh,A,49.52,1
M0702,0.78,1.15,118.56,0.77,683,3.868,0.745,19,indoor,A,74.14,1
M0703,5.05,0.97,67.53,0.52,2158,5.864,0.379,2,indoor,A,136.38,1
M0704,2.02,1.26,61.02,0.89,1988,2.897,0.303,18,harsh,B,115.49,1
M0705,0.95,1.16,106.21,0.96,1538,9.195,0.459,17,harsh,C,31.4,1
M0706,14.85,0.66,108.43,0.92,1555,3.024,0.818,3,outdoor,C,15.21,1
M0707,4.84,1.46,67.21,0.82,2463,9.01,0.93,7,outdoor,B,119.77,1
M0708,12.15,0.82,75.93,0.49,989,1.483,0.545,16,indoor,A,14.62,1
M0709,3.82,1.43,61.05,0.5,2551,6.737,0.661,4,outdoor,A,173.45,1
M0710,10.22,1.48,77.6,0.97,2122,9.116,0.903,12,indoor,A,107.86,1
M0711,11.4,0.73,106.39,0.31,1547,2.103,0.099,0,indoor,A,71.83,1
M0712,8.93,0.59,91.08,0.8,1645,9.699,0.232,12,harsh,B,35.93,1
M0713,7.07,1.67,80.89,0.79,1142,4.802,0.709,3,indoor,A,11.17,1
M0714,6.18,1.19,82.3,0.74,2380,9.484,0.824,13,outdoor,A,50.23,1
M0715,5.23,0.59,60.08,0.99,1782,6.93,0.857,2,harsh,A,31.34,1
M0716,13.94,1.99,77.99,0.52,1302,3.365,0.415,4,indoor,B,99.05,1
M0717,12.46,0.59,98.79,0.54,1990,2.289,0.089,6,harsh,B,29.86,1
M0718,14.48,1.54,118.45,0.36,2989,3.385,0.438,0,harsh,B,48.15,1
M0719,1.86,1.98,110.82,0.61,1588,1.384,0.231,11,outdoor,B,92.98,1
M0720,10.96,0.86,61.42,0.48,2802,1.867,0.291,10,indoor,C,60.84,1
M0721,14.08,0.71,113.91,0.54,1363,1.494,0.772,7,indoor,A,21.45,1
M0722,2.72,0.68,106.99,0.88,637,4.518,0.076,5,outdoor,B,19.23,1
M0723,1.0,0.95,106.82,0.95,1011,8.058,0.828,1,indoor,B,16.4,1
M0724,11.12,0.65,87.48,0.43,1547,1.843,0.428,18,indoor,B,148.78,1
M0725,8.62,1.54,83.88,0.56,1049,1.738,0.596,19,harsh,C,43.34,1
M0726,12.63,0.59,78.17,0.95,501,6.613,0.09,19,indoor,A,172.17,1
M0727,2.1,1.26,63.94,0.34,2788,2.373,0.337,13,outdoor,B,87.6,1
M0728,11.93,2.0,73.69,0.36,2610,1.427,0.09,0,indoor,A,88.79,1
M0729,3.02,1.72,74.8,0.41,2356,2.085,0.962,9,outdoor,B,86.71,1
M0730,2.45,1.42,89.04,0.72,920,9.275,0.807,15,harsh,A,90.5,1
M0731,2.46,0.96,104.85,0.41,801,8.304,0.46,3,indoor,A,65.77,1
M0732,12.22,1.44,88.43,0.98,669,3.864,0.224,10,indoor,B,39.36,1
M0733,9.98,1.29,63.47,0.61,2310,6.73,0.933,15,outdoor,B,85.36,1
M0734,7.85,1.14,117.47,0.65,2822,5.604,0.345,19,outdoor,A,61.06,1
M0735,5.38,0.7,116.56,0.47,1576,6.933,0.161,0,outdoor,B,63.42,1
M0736,13.16,1.83,107.11,0.63,798,6.985,0.563,15,indoor,B,99.3,1
M0737,5.89,1.17,119.48,0.76,1781,6.473,0.944,18,indoor,A,94.48,1
M0738,12.25,0.79,92.67,0.83,1372,3.028,0.004,20,harsh,B,78.53,1
M0739,6.59,1.05,117.77,0.83,1437,0.871,0.238,8,harsh,B,63.98,1
M0740,5.65,1.12,64.54,0.7,2053,4.828,0.938,8,outdoor,B,115.52,1
M0741,6.94,1.74,81.94,0.93,2297,8.964,0.171,8,harsh,A,78.36,1
M0742,4.52,1.6,73.52,0.87,777,5.91,0.113,16,outdoor,A,105.35,1
M0743,11.21,1.65,71.75,0.83,589,8.408,0.57,11,outdoor,B,56.26,0
M0744,7.54,0.52,68.45,0.34,2986,9.92,0.862,12,indoor,C,125.68,0
M0745,3.48,1.12,97.34,0.3,1082,2.054,0.477,7,outdoor,B,74.32,0
M0746,13.49,1.22,106.88,0.45,635,7.072,0.995,15,outdoor,A,68.79,1
M0747,5.76,0.53,94.7,0.76,975,6.906,0.679,17,indoor,B,143.82,1
M0748,8.15,0.89,68.82,0.59,597,9.81,0.074,0,outdoor,C,70.24,1
M0749,13.6,1.64,108.67,0.58,1480,9.863,0.993,0,outdoor,A,20.83,1
M0750,9.36,0.71,98.16,0.92,2506,7.023,0.408,11,outdoor,C,106.23,1
M0751,1.75,1.3,83.29,0.93,1353,2.814,0.287,5,outdoor,C,15.29,1
M0752,14.1,0.82,100.45,0.94,1610,8.086,0.558,8,harsh,A,78.86,1
M0753,9.42,0.52,75.59,0.52,2189,1.517,0.304,4,indoor,C,79.29,0
M0754,5.02,0.86,80.71,0.78,1772,7.917,0.086,15,outdoor,A,195.15,1
M0755,2.09,1.96,115.05,0.49,2654,9.147,0.001,17,outdoor,C,16.65,1
M0756,11.91,1.7,77.43,0.43,2665,4.137,0.45,16,outdoor,B,88.43,1
M0757,9.3,1.94,88.2,0.43,525,6.491,0.837,17,indoor,B,82.71,1
M0758,8.0,1.23,113.41,0.54,2445,4.586,0.572,0,indoor,B,58.64,1
M0759,13.41,0.66,102.46,0.6,1652,4.659,0.999,18,harsh,C,17.86,1
M0760,11.83,1.32,63.73,0.88,2972,3.449,0.287,7,outdoor,A,92.41,1
M0761,2.28,1.18,68.84,0.38,1708,7.74,0.28,2,harsh,B,59.53,1
M0762,4.68,1.77,60.47,0.81,2967,9.394,0.16,4,outdoor,A,31.7,1
M0763,3.73,0.65,97.86,0.67,2386,9.437,0.164,7,outdoor,A,92.53,0
M0764,11.16,1.23,86.86,0.5,1122,2.16,0.285,18,harsh,A,104.8,1
M0765,0.5,0.73,68.06,0.64,1846,8.81,0.793,17,outdoor,B,132.13,1
M0766,8.55,0.99,117.48,0.51,2980,7.506,0.906,17,indoor,A,163.4,1
M0767,11.44,1.61,91.78,0.72,2644,2.902,0.975,20,outdoor,A,74.12,1
M0768,13.15,1.21,74.51,0.6,743,1.139,0.232,0,harsh,A,142.84,1
M0769,5.13,1.06,90.04,0.42,2266,3.046,0.881,14,indoor,A,187.8,1
M0770,12.32,1.09,100.78,0.38,1364,9.166,0.328,17,indoor,B,60.08,1
M0771,1.66,1.19,64.57,0.68,517,6.515,0.113,6,indoor,C,45.02,1
M0772,12.7,1.68,76.48,0.93,1509,7.35,0.87,15,harsh,A,55.78,1
M0773,1.91,1.84,108.42,0.54,1087,2.943,0.636,15,indoor,C,70.94,1
M0774,5.96,1.93,87.58,0.81,2547,7.334,0.165,14,outdoor,B,81.46,1
M0775,11.96,1.68,92.79,0.76,1343,0.767,0.43,5,outdoor,B,84.38,1
M0776,2.25,0.97,85.97,0.95,2569,4.066,0.287,8,outdoor,B,116.21,1
M0777,3.44,1.53,62.63,0.87,501,6.454,0.737,6,outdoor,C,71.84,1
M0778,10.83,1.16,69.94,0.7,1270,1.888,0.453,13,indoor,A,46.77,1
M0779,10.8,0.88,86.73,0.76,1103,8.319,0.989,10,outdoor,B,121.0,1
M0780,9.62,1.76,72.55,0.93,1084,2.733,0.055,20,outdoor,B,67.29,1
M0781,10.41,0.56,63.0,0.58,670,6.697,0.355,15,harsh,B,157.83,1
M0782,8.14,1.85,110.62,0.53,968,4.349,0.482,5,indoor,C,29.27,1
M0783,3.78,1.19,118.87,0.31,1889,6.162,0.503,15,harsh,A,137.84,1
M0784,5.19,1.46,107.59,0.88,1228,1.521,0.316,19,outdoor,B,32.63,1
M0785,2.72,1.49,111.23,0.86,1543,0.661,0.729,15,harsh,B,40.13,1
M0786,13.63,1.84,74.52,0.37,1442,9.141,0.875,11,outdoor,A,19.98,1
M0787,8.75,1.46,117.64,0.7,2690,3.061,0.939,16,outdoor,A,104.83,1
M0788,6.01,1.42,71.82,0.62,2763,8.287,0.805,4,harsh,B,51.38,0
M0789,6.93,0.6,117.09,0.38,1732,9.994,0.851,12,harsh,C,39.54,1
M0790,14.21,1.28,119.69,0.99,1325,2.509,0.551,7,outdoor,B,85.08,0
M0791,2.3,0.73,102.7,0.45,767,3.019,0.826,4,indoor,C,93.44,1
M0792,8.79,1.61,118.87,0.35,2884,6.797,0.304,11,indoor,B,91.92,1
M0793,7.59,1.27,94.17,0.72,651,9.672,0.398,8,indoor,A,153.45,1
M0794,9.17,1.52,75.57,0.82,1244,9.2,0.317,2,indoor,A,64.37,1
M0795,0.27,0.56,86.22,0.32,1245,5.277,0.467,2,indoor,A,89.79,1
M0796,13.08,0.63,95.61,0.76,1301,8.054,0.286,0,harsh,A,103.78,1
M0797,13.98,1.57,64.38,0.67,911,1.79,0.962,17,indoor,A,103.06,0
M0798,8.48,0.61,97.34,0.37,2458,9.786,0.313,11,outdoor,B,164.13,1
M0799,10.45,0.61,118.87,0.42,806,9.661,0.098,8,indoor,B,146.33,1
M0800,13.84,0.52,71.41,0.7,2087,2.055,0.527,8,indoor,A,47.36,1
M0801,10.61,1.93,107.56,0.51,810,3.345,0.057,17,indoor,A,162.41,1
M0802,2.29,1.61,114.47,0.96,676,1.451,0.111,17,indoor,A,88.14,0
M0803,8.64,1.03,116.62,0.87,2774,3.081,0.219,6,outdoor,B,137.76,0
M0804,9.1,0.94,117.61,0.99,975,8.252,0.464,3,harsh,A,52.83,1
M0805,6.36,1.02,91.29,0.48,2553,4.094,0.433,12,indoor,A,112.94,1
M0806,11.05,1.66,118.64,0.98,1862,1.34,0.8,16,outdoor,C,62.91,1
M0807,14.02,1.49,105.44,0.6,695,3.751,0.739,1,outdoor,C,41.68,1
M0808,13.88,0.78,69.7,0.54,2889,9.823,0.426,13,harsh,A,20.11,1
M0809,6.76,0.76,88.61,0.34,1117,6.482,0.334,2,outdoor,B,65.59,0
M0810,1.7,0.65,103.1,0.34,2649,4.454,0.316,4,outdoor,A,132.82,1
M0811,14.77,1.49,74.84,0.78,922,2.082,0.774,13,outdoor,C,31.45,1
M0812,12.58,1.65,98.44,0.62,2635,9.869,0.052,2,harsh,B,67.24,1
M0813,1.87,0.9,100.0,0.46,533,8.298,0.013,6,indoor,A,124.66,1
M0814,13.81,0.53,69.76,0.73,1779,3.174,0.796,17,outdoor,B,75.62,1
M0815,13.05,0.62,93.91,0.48,2424,1.166,0.477,12,harsh,A,44.13,1
M0816,7.78,1.95,106.3,0.7,2837,1.038,0.131,9,outdoor,A,136.63,1
M0817,8.87,0.94,89.93,0.55,2773,1.644,0.236,12,outdoor,A,120.37,1
M0818,5.99,1.65,60.73,0.88,2549,6.017,0.933,15,outdoor,B,86.99,1
M0819,0.82,1.44,60.54,0.87,2720,9.323,0.86,8,indoor,A,95.76,0
M0820,5.03,1.07,81.42,0.63,998,5.219,0.71,1,outdoor,A,32.32,1
M0821,12.04,0.81,115.57,0.55,1210,8.508,0.482,4,outdoor,A,68.66,1
M0822,0.07,0.68,73.72,0.55,1222,4.736,0.52,16,outdoor,A,64.28,1
M0823,5.0,1.42,98.06,0.86,1443,7.232,0.975,3,outdoor,C,33.28,1
M0824,5.97,1.66,73.32,0.53,1483,7.453,0.966,16,harsh,A,85.77,1
M0825,8.06,1.47,79.3,0.45,1861,2.153,0.215,8,indoor,A,203.34,1
M0826,13.8,1.3,110.88,0.36,900,3.932,0.811,19,outdoor,B,65.52,1
M0827,5.2,0.56,103.73,0.63,2228,6.554,0.197,1,outdoor,C,34.4,1
M0828,5.2,1.95,65.72,0.64,919,1.172,0.214,17,outdoor,C,104.59,1
M0829,11.06,1.7,85.72,0.89,1276,3.935,0.676,20,indoor,B,108.49,0
M0830,6.78,0.94,61.75,0.45,1758,5.581,0.405,10,outdoor,A,61.69,0
M0831,3.37,1.97,88.85,0.57,2491,9.964,0.932,12,harsh,B,90.46,1
M0832,6.79,1.4,99.75,0.87,2349,5.008,0.089,7,outdoor,B,75.87,1
M0833,2.11,1.37,67.11,0.88,2114,8.253,0.512,0,harsh,A,89.61,1
M0834,2.65,1.62,77.33,0.57,889,4.605,0.919,16,harsh,C,27.19,1
M0835,7.48,1.72,83.87,0.62,1868,8.066,0.904,11,indoor,A,73.37,1
M0836,6.28,1.48,115.17,0.51,719,6.156,0.157,3,indoor,C,58.13,1
M0837,13.72,0.69,119.6,0.95,1443,8.923,0.367,20,harsh,C,44.28,1
M0838,5.44,1.01,62.69,0.38,1534,4.404,0.619,12,harsh,B,139.29,1
M0839,8.71,1.89,105.66,0.95,600,6.241,0.159,8,indoor,C,63.12,0
M0840,9.48,0.84,82.3,0.78,1185,6.485,0.968,6,indoor,B,40.0,1
M0841,0.2,1.06,83.55,0.67,2889,4.465,0.915,4,indoor,A,53.91,1
M0842,9.95,1.15,105.26,0.32,2884,1.871,0.167,4,harsh,B,43.83,1
M0843,2.67,1.16,115.11,0.63,1381,1.389,0.121,16,indoor,A,82.25,1
M0844,14.42,1.42,117.06,0.59,608,0.658,0.085,8,outdoor,A,72.82,0
M0845,2.23,1.91,94.63,0.41,948,8.799,0.909,5,harsh,B,67.47,0
M0846,6.22,0.86,81.43,0.76,1481,2.747,0.194,18,indoor,A,90.44,0
M0847,1.28,0.68,107.25,0.98,2869,2.509,0.416,15,outdoor,A,74.98,0
M0848,14.95,0.8,75.06,0.69,853,7.492,0.449,20,indoor,B,155.53,1
M0849,7.53,1.83,93.84,0.8,2409,3.54,0.599,1,harsh,C,45.26,1
M0850,8.93,1.47,81.51,0.35,772,5.307,0.072,9,indoor,A,61.84,1
M0851,1.01,0.93,99.4,0.59,2953,2.044,0.227,15,outdoor,A,102.57,1
M0852,11.25,1.72,74.42,0.38,1454,9.618,0.931,4,outdoor,A,79.99,1
M0853,3.15,1.79,71.5,0.73,2438,8.59,0.908,14,indoor,B,126.18,1
M0854,13.47,1.77,115.09,0.96,1356,8.706,0.781,12,indoor,A,48.3,1
M0855,3.08,1.88,66.11,0.76,2069,4.364,0.019,12,outdoor,B,71.8,1
M0856,2.86,0.88,90.36,0.35,980,7.742,0.327,12,indoor,A,89.56,1
M0857,0.55,1.63,73.25,0.55,865,1.867,0.628,14,harsh,A,183.39,0
M0858,7.08,1.19,62.34,0.69,2845,0.582,0.275,13,harsh,C,54.94,1
M0859,8.47,1.76,62.16,0.58,2794,0.69,0.91,7,outdoor,A,129.31,1
M0860,0.99,1.59,70.51,0.88,2719,6.073,0.634,10,outdoor,B,114.64,1
M0861,11.63,1.66,112.01,0.87,2064,4.826,0.072,17,outdoor,A,52.53,1
M0862,6.8,1.48,76.95,0.73,2521,5.421,0.909,3,harsh,B,60.56,1
M0863,7.87,0.77,117.03,0.56,673,0.571,0.958,9,outdoor,B,146.1,1
M0864,6.61,1.32,94.9,0.48,1337,4.516,0.078,0,indoor,A,93.72,1
M0865,6.01,1.98,86.2,0.37,1284,7.322,0.532,4,indoor,A,191.31,1
M0866,8.39,1.91,94.81,0.55,2089,4.706,0.303,12,outdoor,A,48.45,1
M0867,2.33,0.56,91.0,0.59,1390,7.456,0.393,0,outdoor,B,25.56,1
M0868,2.73,0.75,105.53,0.77,871,2.714,0.18,7,outdoor,C,128.59,1
M0869,12.93,0.7,76.95,0.76,1991,8.225,0.578,2,indoor,B,131.7,1
M0870,14.19,1.59,81.18,0.35,2536,6.09,0.958,2,outdoor,B,55.79,0
M0871,5.6,1.73,113.65,0.58,1455,2.502,0.503,6,indoor,A,123.31,1
M0872,4.06,0.82,116.79,0.43,831,2.749,0.083,3,indoor,A,175.72,0
M0873,9.66,1.26,113.55,0.41,992,6.466,0.62,2,outdoor,A,117.57,1
M0874,6.13,1.76,85.17,0.88,1094,8.384,0.34,14,indoor,A,75.89,0
M0875,0.38,1.6,106.82,0.33,1250,4.448,0.856,7,outdoor,A,96.22,1
M0876,2.34,1.31,88.58,0.59,2107,2.954,0.435,2,indoor,B,78.19,1
M0877,10.74,1.39,89.85,0.42,2002,8.737,0.193,6,outdoor,B,134.05,1
M0878,9.88,1.26,72.28,0.92,2240,6.858,0.191,17,outdoor,C,59.9,1
M0879,0.41,0.95,95.47,0.69,1406,4.757,0.769,10,indoor,A,117.71,1
M0880,3.33,1.35,71.17,0.46,2560,5.135,0.266,10,indoor,B,91.96,1
M0881,3.47,1.53,79.89,0.65,1010,2.44,0.767,16,harsh,C,66.1,1
M0882,10.08,1.81,111.3,0.81,1673,6.455,0.206,5,outdoor,B,61.91,1
M0883,0.3,1.45,72.42,0.97,2502,3.908,0.322,7,outdoor,A,25.22,1
M0884,1.56,1.64,64.27,0.45,950,9.959,0.465,0,indoor,A,175.99,1
M0885,12.0,0.74,64.14,0.92,775,5.062,0.943,9,outdoor,A,84.22,1
M0886,2.68,1.19,116.45,0.95,2709,5.116,0.932,18,outdoor,A,94.43,1
M0887,9.79,0.51,90.42,0.94,1357,5.876,0.207,2,outdoor,B,34.19,1
M0888,3.57,0.87,84.56,0.74,2210,9.209,0.358,3,outdoor,A,5.61,1
M0889,1.49,1.59,108.65,0.74,563,8.108,0.149,10,indoor,A,63.58,1
M0890,3.65,1.99,110.15,0.58,2225,4.786,0.51,14,indoor,B,115.57,1
M0891,10.83,0.65,79.93,0.83,1290,7.328,0.461,0,harsh,C,17.6,1
M0892,12.84,1.1,101.62,0.67,639,6.069,0.901,8,harsh,B,99.57,1
M0893,12.45,1.7,106.27,0.77,2025,5.177,0.93,10,indoor,B,45.65,1
M0894,5.96,0.81,99.28,0.6,1102,2.327,0.384,18,outdoor,A,59.26,1
M0895,10.02,1.33,69.1,0.81,1467,4.907,0.492,12,indoor,A,57.48,1
M0896,3.07,1.6,112.55,0.88,701,2.835,0.896,15,indoor,A,15.33,1
M0897,4.4,1.42,92.35,0.4,868,9.191,0.807,3,indoor,B,121.94,1
M0898,13.45,0.78,76.95,0.88,1245,3.686,0.004,0,indoor,C,128.06,1
M0899,0.2,1.03,85.51,0.68,724,9.547,0.32,19,outdoor,A,117.69,1
M0900,1.28,1.68,62.25,0.89,2777,5.564,0.422,12,outdoor,B,46.89,1
M0901,3.12,1.33,67.67,0.6,515,6.5,0.23,0,indoor,A,75.78,1
M0902,0.4,0.51,105.93,0.57,1710,5.658,0.2,4,indoor,B,90.96,1
M0903,2.72,1.64,60.0,0.94,808,1.729,0.038,4,harsh,A,132.88,0
M0904,8.75,0.55,84.99,0.48,1269,4.07,0.643,13,indoor,A,72.44,1
M0905,6.32,1.62,91.35,0.89,2815,1.442,0.263,13,outdoor,C,92.47,1
M0906,13.39,0.8,63.28,0.64,904,6.418,0.052,7,indoor,B,86.71,1
M0907,12.26,1.94,118.38,0.66,2915,4.745,0.231,3,outdoor,B,43.14,1
M0908,5.13,1.05,73.57,0.52,1014,7.891,0.802,6,indoor,A,70.58,0
M0909,3.89,0.99,78.25,0.7,2354,2.594,0.851,19,indoor,A,40.13,1
M0910,5.7,0.72,78.24,0.53,1867,2.063,0.483,18,indoor,A,165.1,0
M0911,8.85,0.96,73.82,0.33,2711,4.36,0.416,14,indoor,C,52.03,1
M0912,4.02,1.81,60.09,0.49,1885,9.303,0.978,3,outdoor,C,83.18,1
M0913,9.36,1.99,103.76,0.3,1836,7.249,0.201,18,outdoor,B,23.07,1
M0914,6.14,1.05,118.01,0.98,989,4.48,0.215,8,indoor,A,205.71,1
M0915,8.28,1.17,73.46,0.98,916,5.414,0.292,20,indoor,C,49.59,1
M0916,6.54,1.58,99.78,0.58,2791,1.3,0.173,12,outdoor,B,139.36,1
M0917,4.42,1.83,104.51,0.81,1320,9.853,0.379,13,outdoor,B,108.38,1
M0918,14.23,1.39,110.91,0.54,1430,6.831,0.911,13,harsh,A,125.0,1
M0919,11.45,1.09,85.36,0.77,2400,3.211,0.615,9,outdoor,B,72.59,1
M0920,2.1,1.12,78.18,0.86,1347,6.065,0.412,15,outdoor,B,123.31,1
M0921,13.03,1.54,79.52,0.96,2880,1.54,0.934,4,outdoor,C,47.62,1
M0922,7.31,0.5,102.76,0.58,2345,9.675,0.048,5,harsh,C,23.59,1
